0,201-0,305-0,,,201-0#301-0#303-0#305-0,0
1,210-0,316-0,,,210-0#306-0#308-0#310-0#312-0#314-0#316-0,0
2,305-0,317-0,,,305-0#307-0#309-0#315-0#317-0,0
3,314-0,410-0,,,314-0#316-0#318-0#326-0#406-0#408-2#410-0,0
4,317-0,407-0,,,317-0#405-0#407-1,0
5,317-0,410-0,,,317-0#405-1#408-2#410-0,0
6,407-0,413-0,,,407#409#411#413,0
7,410-0,416-0,,,410-0#412-0#414-0#416-0,0
8,115-0,407-0,,,115-0#413-0#411-0#409-0#407-0,1
9,114-0,410-0,,,114-0#416-0#414-0#412-0#410-0,1
10,407-0,317-0,,,407-0#405-1#317-0,1
11,410-0,317-0,,,410-0#408-2#405-1#317-0,1
12,410-0,314-0,,,410-0#408-2#406-0#326-0#318-0#316-0#314-0,1
13,305-0,301-0,,,305-0#303-0#301-0,1
14,314-0,306-0,,,314-0#312-0#310-0#308-0#306-0,1
