0,413-0,111-3,,,413-0#115-0#113-0#111-1#111-3,0
1,416-0,110-4,,,416-0#114-0#112-0#110-2#110-4,0
2,113-0,108-0,,,113-0#111-1#110-4#108-0,0
3,113-0,109-0,,,113-0#111-1#111-3#109-0,0
4,112-0,108-0,,,112-0#110-2#110-4#108-0,0
5,112-0,109-0,,,112-0#110-2#111-3#109-0,0
6,108-0,202-0,,,108-0#106-6#104-0#102-0#122-0#120-0#206-0#204-2#202-0,0
7,108-0,117-0,,,108-0#106-6#118-8#119-9#117-0,0
8,108-0,116-0,,,108-0#106-6#118-8#118-10#116-0,0
9,109-0,121-0,,,109-0#107-5#105-0#103-0#101-0#121-0,0
10,109-0,117-0,,,109-0#107-5#119-7#119-9#117-0,0
11,109-0,116-0,,,109-0#107-5#119-7#118-10#116-0,0
12,202-0,306-0,,,202-0#208-0#210-0#306-0,0
13,101-0,207-1,,,101-0#121-0#211-0#209-0#207-1,0
14,209-0,202-0,,,209-0#207-1#204-2#202-0,0
15,209-0,205-0,,,209-0#207-1#205-0,0
16,205-0,301-0,,,205-0#203-0#201-0#301-0,0
17,301-0,205-0,,,301-0#201-0#203-0#205-0,1
18,306-0,202-0,,,306-0#210-0#208-0#202-0,1
19,202-0,122-0,,,202-0#204-2#206-0#120-0#122-0,1
20,202-0,209-0,,,202-0#204-2#207-1#209-0,1
21,205-0,209-0,,,205-0#207-1#209-0,1
22,120-0,106-6,,,120-0#122-0#102-0#104-0#106-6,1
23,104-0,108-0,,,104-0#106-6#108-0,1
24,117-0,119-7,,,117-0#119-9#119-7,1
25,116-0,118-8,,,116-0#118-10#118-8,1
26,117-0,108-0,,,117-0#119-9#118-8#106-6#108-0,1
27,117-0,109-0,,,117-0#119-9#119-7#107-5#109-0,1
28,116-0,108-0,,,116-0#118-10#118-8#106-6#108-0,1
29,116-0,109-0,,,116-0#118-10#119-7#107-5#109-0,1
30,108-0,413-0,,,108-0#110-4#111-1#113-0#115-0#413-0,1
31,108-0,416-0,,,108-0#110-4#110-2#112-0#114-0#416-0,1
32,109-0,413-0,,,109-0#111-3#111-1#113-0#115-0#413-0,1
33,109-0,416-0,,,109-0#111-3#110-2#112-0#114-0#416-0,1
